Time(ms),Zone,Speed(M/s),ID,Status,Step,Yaw,Pitch,PlayerPos_X,PlayerPos_Y,PlayerPos_Z,NearestCarId,NearestCarType,NearestCarDistance,NearestCar_Speed,NearestCarPos_X,NearestCarPos_Y,NearestCarPos_Z
9.90,WaitingPoint,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-7.000,None,None,,,,,
10.00,WaitingPoint,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-7.000,None,None,,,,,
10.10,WaitingPoint,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-7.000,None,None,,,,,
10.20,WaitingPoint,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-7.000,None,None,,,,,
10.30,WaitingPoint,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-7.000,None,None,,,,,
10.40,WaitingPoint,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-7.000,None,None,,,,,
10.50,WaitingPoint,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-7.000,None,None,,,,,
10.60,WaitingPoint,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-7.000,None,None,,,,,
10.70,WaitingPoint,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-7.000,None,None,,,,,
10.80,WaitingPoint,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-7.000,None,None,,,,,
10.90,WaitingPoint,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-7.000,None,None,,,,,
11.00,WaitingPoint,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-7.000,None,None,,,,,
11.10,WaitingPoint,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-7.000,None,None,,,,,
11.20,WaitingPoint,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-7.000,None,None,,,,,
11.30,WaitingPoint,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-7.000,None,None,,,,,
11.40,WaitingPoint,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-7.000,None,None,,,,,
11.50,WaitingPoint,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-7.000,None,None,,,,,
11.60,WaitingPoint,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-7.000,None,None,,,,,
11.70,WaitingPoint,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-7.000,None,None,,,,,
11.80,WaitingPoint,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-7.000,None,None,,,,,
11.90,WaitingPoint,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-7.000,None,None,,,,,
12.00,WaitingPoint,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-7.000,None,None,,,,,
12.10,WaitingPoint,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-7.000,None,None,,,,,
12.20,WaitingPoint,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-7.000,None,None,,,,,
12.30,WaitingPoint,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-7.000,None,None,,,,,
12.40,WaitingPoint,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-7.000,None,None,,,,,
12.50,WaitingPoint,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-7.000,None,None,,,,,
12.60,WaitingPoint,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-7.000,None,None,,,,,
12.70,WaitingPoint,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-7.000,None,None,,,,,
12.80,WaitingPoint,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-7.000,None,None,,,,,
12.90,WaitingPoint,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-7.000,None,None,,,,,
13.00,WaitingPoint,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-7.000,None,None,,,,,
13.10,WaitingPoint,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-7.000,None,None,,,,,
13.20,WaitingPoint,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-7.000,None,None,,,,,
13.30,WaitingPoint,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-7.000,None,None,,,,,
13.40,CrossWalk,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-6.000,None,None,,,,,
13.50,CrossWalk,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-5.500,None,None,,,,,
13.60,CrossWalk,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-5.000,None,None,,,,,
13.70,CrossWalk,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-4.400,None,None,,,,,
13.80,CrossWalk,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-3.600,None,None,,,,,
13.90,CrossWalk,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-3.100,None,None,,,,,
14.00,CrossWalk,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-2.600,None,None,,,,,
14.10,CrossWalk,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-2.000,None,None,,,,,
14.20,CrossWalk,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-1.500,None,None,,,,,
14.30,CrossWalk,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-1.100,None,None,,,,,
14.40,CrossWalk,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-1.100,None,None,,,,,
14.50,CrossWalk,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-1.100,None,None,,,,,
14.60,CrossWalk,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-1.100,None,None,,,,,
14.70,CrossWalk,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-1.100,None,None,,,,,
14.80,CrossWalk,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-1.100,None,None,,,,,
14.90,CrossWalk,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-0.200,None,None,,,,,
15.00,CrossWalk,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,0.400,None,None,,,,,
